batsman,match_date,match_type,runs_batsman,balls_faced,boundary_4,boundary_6,strike_rate,batting_points
RG Sharma,2010-02-27,ODI,48,63,3,0,76.19047619047619,51
RG Sharma,2010-03-12,T20,13,12,2,0,108.33333333333333,15
RG Sharma,2010-03-14,T20,19,10,2,1,190.0,23
RG Sharma,2010-03-19,T20,1,2,0,0,50.0,1
RG Sharma,2010-03-21,T20,45,30,3,3,150.0,54
RG Sharma,2010-03-26,T20,49,37,2,3,132.43243243243242,57
RG Sharma,2010-03-28,T20,45,30,3,2,150.0,52
RG Sharma,2010-04-01,T20,2,6,0,0,33.33333333333333,2
RG Sharma,2010-04-03,T20,11,14,0,0,78.57142857142857,11
RG Sharma,2010-04-05,T20,73,44,8,2,165.9090909090909,93
RG Sharma,2010-04-08,T20,6,5,1,0,120.0,7
RG Sharma,2010-04-10,T20,8,15,0,0,53.333333333333336,4
RG Sharma,2010-04-12,T20,51,47,7,0,108.51063829787233,66
RG Sharma,2010-04-16,T20,68,39,6,3,174.35897435897436,88
RG Sharma,2010-04-18,T20,11,10,2,0,110.00000000000001,13
RG Sharma,2010-04-22,T20,2,5,0,0,40.0,2
RG Sharma,2010-04-24,T20,0,4,0,0,0.0,0
RG Sharma,2010-05-07,T20,79,48,4,6,164.58333333333331,103
RG Sharma,2010-05-09,T20,5,9,1,0,55.55555555555556,6
RG Sharma,2010-05-28,ODI,114,119,6,4,95.7983193277311,140
RG Sharma,2010-05-30,ODI,101,100,6,2,101.0,123
RG Sharma,2010-06-03,ODI,13,25,0,0,52.0,11
RG Sharma,2010-06-05,ODI,32,40,1,0,80.0,33
RG Sharma,2010-06-12,T20,10,15,1,0,66.66666666666666,9
RG Sharma,2010-06-16,ODI,0,1,0,0,0.0,0
RG Sharma,2010-06-19,ODI,22,24,2,0,91.66666666666666,24
RG Sharma,2010-06-22,ODI,69,74,7,0,93.24324324324324,80
RG Sharma,2010-06-24,ODI,41,52,3,0,78.84615384615384,44
RG Sharma,2010-08-10,ODI,4,11,0,0,36.36363636363637,-2
RG Sharma,2010-08-16,ODI,0,2,0,0,0.0,0
RG Sharma,2010-08-22,ODI,11,21,2,0,52.38095238095239,11
RG Sharma,2010-08-28,ODI,5,10,0,0,50.0,3
RG Sharma,2010-12-07,ODI,44,48,4,1,91.66666666666666,50
RG Sharma,2011-01-09,T20,53,34,5,2,155.88235294117646,70
RG Sharma,2011-01-12,ODI,11,28,1,0,39.285714285714285,6
RG Sharma,2011-01-15,ODI,9,14,1,0,64.28571428571429,10
RG Sharma,2011-01-18,ODI,23,46,2,0,50.0,23
RG Sharma,2011-01-21,ODI,1,6,0,0,16.666666666666664,1
